Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (ml),Right amount (ml),Total amount (ml),Note
"2022/8/13, 09:36",,,,,30,20,50
"2022/8/13, 06:41",,,,,10,5,15
"2022/8/13, 06:21",,,,,40,40,80
"2022/8/13, 02:59",,,,,15,15,30
"2022/8/13, 02:39",,,,,45,45,90
"2022/8/12, 22:29",,,,,5,5,10
"2022/8/12, 22:08",,,,,40,35,75
"2022/8/12, 19:09",,,,,15,20,35
"2022/8/12, 18:41",,,,,35,30,65
"2022/8/12, 15:18",,,,,5,10,15
"2022/8/12, 15:00",,,,,30,25,55
"2022/8/12, 12:03",,,,,60,45,105
"2022/8/12, 08:16",,,,,10,10,20
"2022/8/12, 07:57",,,,,40,30,70
"2022/8/12, 04:52",,,,,15,20,35
"2022/8/12, 04:25",,,,,50,40,90
"2022/8/12, 00:04",,,,,15,10,25
"2022/8/11, 23:45",,,,,40,40,80
"2022/8/11, 20:35",,,,,5,5,10
"2022/8/11, 20:20",,,,,35,35,70
"2022/8/11, 17:36",,,,,15,20,35
"2022/8/11, 17:19",,,,,40,40,80
"2022/8/11, 13:49",,,,,5,5,10
"2022/8/11, 13:29",,,,,40,30,70
"2022/8/11, 10:04",,,,,10,20,30
"2022/8/11, 09:04",,,,,20,20,40
"2022/8/11, 06:07",,,,,10,10,20
"2022/8/11, 05:48",,,,,40,40,80
"2022/8/11, 02:29",,,,,5,5,10
"2022/8/11, 02:10",,,,,40,40,80
"2022/8/10, 23:03",,,,,10,10,20
"2022/8/10, 22:38",,,,,40,30,70
"2022/8/10, 19:16",,,,,10,10,20
"2022/8/10, 18:59",,,,,45,40,85
"2022/8/10, 15:43",,,,,10,53,63
"2022/8/10, 15:20",,,,,40,35,75
"2022/8/10, 11:55",,,,,10,5,15
"2022/8/10, 11:33",,,,,30,30,60
"2022/8/10, 08:02",,,,,10,3,13
"2022/8/10, 07:40",,,,,40,40,80
"2022/8/10, 04:27",,,,,,10,10
"2022/8/10, 04:06",,,,,50,40,90
"2022/8/10, 00:38",,,,,5,5,10
"2022/8/10, 00:21",,,,,40,40,80
"2022/8/9, 20:44",,,,,,5,5
"2022/8/9, 20:30",,,,,40,30,70
"2022/8/9, 17:17",,,,,2,10,12
"2022/8/9, 16:57",,,,,40,30,70
"2022/8/9, 13:25",,,,,5,5,10
"2022/8/9, 13:06",,,,,30,25,55
"2022/8/9, 10:17",,,,,20,20,40
"2022/8/9, 09:43",,,,,40,30,70
"2022/8/9, 05:55",,,,,5,5,10
"2022/8/9, 05:39",,,,,35,30,65
"2022/8/9, 03:04",,,,,5,5,10
"2022/8/9, 02:44",,,,,35,35,70
"2022/8/8, 23:50",,,,,,10,10
"2022/8/8, 23:32",,,,,40,30,70
"2022/8/8, 20:28",,,,,5,5,10
"2022/8/8, 20:09",,,,,35,35,70
"2022/8/8, 16:36",,,,,1,,1
"2022/8/8, 16:14",,,,,40,20,60
"2022/8/8, 12:10",,,,,5,10,15
"2022/8/8, 11:50",,,,,35,30,65
"2022/8/8, 08:37",,,,,10,10,20
"2022/8/8, 08:23",,,,,40,20,60
"2022/8/8, 05:02",,,,,5,10,15
"2022/8/8, 04:43",,,,,50,40,90
"2022/8/8, 00:42",,,,,,5,5
"2022/8/8, 00:22",,,,,40,40,80
"2022/8/7, 21:08",,,,,10,10,20
"2022/8/7, 20:45",,,,,30,20,50
"2022/8/7, 17:23",,,,,10,5,15
"2022/8/7, 16:59",,,,,35,35,70
"2022/8/7, 13:37",,,,,10,10,20
"2022/8/7, 13:09",,,,,35,30,65
"2022/8/7, 09:44",,,,,40,40,80
"2022/8/7, 06:01",,,,,,5,5
"2022/8/7, 05:43",,,,,40,30,70
"2022/8/7, 03:03",,,,,1,2,3
"2022/8/7, 02:47",,,,,40,40,80
"2022/8/6, 23:57",,,,,10,5,15
"2022/8/6, 23:33",,,,,50,45,95
"2022/8/6, 20:01",,,,,30,20,50
"2022/8/6, 16:21",,,,,5,5,10
"2022/8/6, 16:05",,,,,45,35,80
"2022/8/6, 12:29",,,,,5,,5
"2022/8/6, 12:10",,,,,40,40,80
"2022/8/6, 09:02",,,,,30,20,50
"2022/8/6, 06:05",,,,,10,10,20
"2022/8/6, 05:43",,,,,30,30,60
"2022/8/6, 02:39",,,,,,10,10
"2022/8/6, 02:15",,,,,15,10,25
"2022/8/6, 01:50",,,,,45,40,85
"2022/8/5, 22:47",,,,,10,15,25
"2022/8/5, 22:24",,,,,45,40,85
"2022/8/5, 18:23",,,,,20,20,40
"2022/8/5, 16:01",,,,,40,35,75
"2022/8/5, 12:02",,,,,60,50,110
"2022/8/5, 08:12",,,,,20,20,40
"2022/8/5, 07:34",,,,,30,30,60
"2022/8/5, 05:12",,,,,,5,5
"2022/8/5, 04:52",,,,,5,10,15
"2022/8/5, 04:36",,,,,35,30,65
"2022/8/5, 01:01",,,,,,5,5
"2022/8/5, 00:42",,,,,10,,10
"2022/8/5, 00:15",,,,,35,35,70
"2022/8/4, 21:36",,,,,5,5,10
"2022/8/4, 21:19",,,,,20,20,40
"2022/8/4, 17:53",,,,,5,1,6
"2022/8/4, 17:38",,,,,40,30,70
"2022/8/4, 14:11",,,,,5,10,15
"2022/8/4, 13:51",,,,,25,30,55
"2022/8/4, 10:59",,,,,50,20,70
"2022/8/4, 07:10",,,,,10,10,20
"2022/8/4, 06:50",,,,,40,30,70
"2022/8/4, 04:03",,,,,10,5,15
"2022/8/4, 03:44",,,,,5,5,10
"2022/8/4, 03:21",,,,,45,45,90
"2022/8/3, 23:09",,,,,10,10,20
"2022/8/3, 22:52",,,,,40,40,80
"2022/8/3, 19:44",,,,,5,5,10
"2022/8/3, 19:24",,,,,35,35,70
"2022/8/3, 16:24",,,,,5,5,10
"2022/8/3, 16:07",,,,,25,30,55
"2022/8/3, 13:14",,,,,2,10,12
"2022/8/3, 12:57",,,,,40,40,80
"2022/8/3, 08:49",,,,,10,10,20
"2022/8/3, 08:26",,,,,35,30,65
"2022/8/3, 05:29",,,,,10,10,20
"2022/8/3, 05:07",,,,,30,30,60
"2022/8/3, 02:05",,,,,15,20,35
"2022/8/3, 01:41",,,,,10,20,30
"2022/8/3, 01:20",,,,,50,35,85
"2022/8/2, 21:22",,,,,5,5,10
"2022/8/2, 21:05",,,,,25,25,50
"2022/8/2, 18:37",,,,,,5,5
"2022/8/2, 18:22",,,,,30,30,60
"2022/8/2, 14:56",,,,,10,20,30
"2022/8/2, 14:32",,,,,40,30,70
"2022/8/2, 11:02",,,,,40,40,80
"2022/8/2, 07:03",,,,,10,10,20
"2022/8/2, 06:33",,,,,40,30,70
"2022/8/2, 03:28",,,,,,10,10
"2022/8/2, 03:09",,,,,10,5,15
"2022/8/2, 02:42",,,,,40,35,75
"2022/8/1, 23:49",,,,,1,1,2
"2022/8/1, 23:29",,,,,40,40,80
"2022/8/1, 20:12",,,,,35,40,75
"2022/8/1, 16:38",,,,,10,2,12
"2022/8/1, 16:18",,,,,40,20,60
"2022/8/1, 12:42",,,,,45,25,70
"2022/8/1, 09:35",,,,,30,25,55
"2022/8/1, 07:24",,,,,5,5,10
"2022/8/1, 07:03",,,,,35,35,70
"2022/8/1, 04:00",,,,,,5,5
"2022/8/1, 03:40",,,,,10,10,20
"2022/8/1, 03:16",,,,,40,35,75
"2022/7/31, 23:22",,,,,2,1,3
"2022/7/31, 23:01",,,,,20,30,50
"2022/7/31, 20:13",,,,,,10,10
"2022/7/31, 19:54",,,,,40,30,70
"2022/7/31, 16:56",,,,,5,20,25
"2022/7/31, 16:24",,,,,20,30,50
"2022/7/31, 12:41",,,,,5,15,20
"2022/7/31, 12:14",,,,,25,25,50
"2022/7/31, 09:28",,,,,10,5,15
"2022/7/31, 09:11",,,,,40,35,75
"2022/7/31, 06:14",,,,,5,5,10
"2022/7/31, 05:56",,,,,35,30,65
"2022/7/31, 03:14",,,,,10,5,15
"2022/7/31, 02:50",,,,,5,10,15
"2022/7/31, 02:32",,,,,45,40,85
"2022/7/30, 22:45",,,,,,10,10
"2022/7/30, 22:24",,,,,40,40,80
"2022/7/30, 19:21",,,,,2,5,7
"2022/7/30, 18:59",,,,,35,30,65
"2022/7/30, 16:07",,,,,5,,5
"2022/7/30, 15:49",,,,,30,30,60
"2022/7/30, 13:04",,,,,,5,5
"2022/7/30, 12:46",,,,,40,40,80
"2022/7/30, 06:56",,,,,5,5,10
"2022/7/30, 06:33",,,,,40,35,75
"2022/7/30, 03:16",,,,,5,,5
"2022/7/30, 02:54",,,,,5,,5
"2022/7/30, 02:34",,,,,45,40,85
"2022/7/29, 23:26",,,,,5,5,10
"2022/7/29, 23:09",,,,,30,15,45
"2022/7/29, 20:17",,,,,5,,5
"2022/7/29, 20:00",,,,,35,25,60
"2022/7/29, 16:48",,,,,5,10,15
"2022/7/29, 16:29",,,,,35,30,65
"2022/7/29, 13:19",,,,,5,10,15
"2022/7/29, 12:56",,,,,40,30,70
"2022/7/29, 09:57",,,,,5,5,10
"2022/7/29, 09:38",,,,,35,30,65
"2022/7/29, 06:44",,,,,10,10,20
"2022/7/29, 06:22",,,,,40,40,80
"2022/7/29, 02:53",,,,,5,,5
"2022/7/29, 02:24",,,,,5,5,10
"2022/7/29, 02:03",,,,,40,35,75
"2022/7/28, 23:16",,,,,5,10,15
"2022/7/28, 23:02",,,,,45,40,85
"2022/7/28, 19:35",,,,,5,5,10
"2022/7/28, 19:15",,,,,40,35,75
"2022/7/28, 16:07",,,,,10,5,15
"2022/7/28, 15:56",,,,,40,35,75
"2022/7/28, 13:17",,,,,15,10,25
"2022/7/28, 12:56",,,,,25,30,55
"2022/7/28, 09:34",,,,,5,5,10
"2022/7/28, 09:19",,,,,40,35,75
"2022/7/28, 06:14",,,,,5,10,15
"2022/7/28, 05:56",,,,,35,30,65
"2022/7/28, 02:44",,,,,5,10,15
"2022/7/28, 02:20",,,,,5,,5
"2022/7/28, 01:53",,,,,40,40,80
"2022/7/27, 22:50",,,,,2,2,4
"2022/7/27, 22:30",,,,,40,40,80
"2022/7/27, 19:21",,,,,10,10,20
"2022/7/27, 18:59",,,,,35,30,65
"2022/7/27, 16:19",,,,,10,10,20
"2022/7/27, 15:54",,,,,30,30,60
"2022/7/27, 12:54",,,,,10,15,25
"2022/7/27, 12:26",,,,,35,25,60
"2022/7/27, 09:18",,,,,10,15,25
"2022/7/27, 08:43",,,,,30,25,55
"2022/7/27, 06:19",,,,,5,5,10
"2022/7/27, 05:59",,,,,30,30,60
"2022/7/27, 03:29",,,,,5,5,10
"2022/7/27, 03:02",,,,,10,5,15
"2022/7/27, 02:37",,,,,45,40,85
"2022/7/26, 23:21",,,,,5,5,10
"2022/7/26, 23:02",,,,,40,35,75
"2022/7/26, 19:41",,,,,,5,5
"2022/7/26, 19:21",,,,,30,35,65
"2022/7/26, 16:29",,,,,5,5,10
"2022/7/26, 16:09",,,,,35,35,70
"2022/7/26, 13:05",,,,,5,10,15
"2022/7/26, 12:42",,,,,40,30,70
"2022/7/26, 09:57",,,,,,10,10
"2022/7/26, 09:42",,,,,40,30,70
"2022/7/26, 06:47",,,,,5,10,15
"2022/7/26, 06:25",,,,,35,30,65
"2022/7/26, 03:52",,,,,1,1,2
"2022/7/26, 03:29",,,,,35,35,70
"2022/7/26, 00:30",,,,,5,,5
"2022/7/26, 00:08",,,,,,5,5
"2022/7/25, 23:42",,,,,40,35,75
"2022/7/25, 20:47",,,,,45,35,80
"2022/7/25, 17:31",,,,,40,35,75
"2022/7/25, 14:26",,,,,,5,5
"2022/7/25, 14:04",,,,,40,35,75
"2022/7/25, 11:20",,,,,40,30,70
"2022/7/25, 08:10",,,,,35,30,65
"2022/7/25, 06:01",,,,,5,5,10
"2022/7/25, 05:44",,,,,40,35,75
"2022/7/25, 02:31",,,,,5,10,15
"2022/7/25, 02:05",,,,,15,10,25
"2022/7/25, 01:35",,,,,55,50,105
"2022/7/24, 20:52",,,,,40,40,80
"2022/7/24, 17:42",,,,,40,40,80
"2022/7/24, 14:57",,,,,5,10,15
"2022/7/24, 14:34",,,,,35,30,65
"2022/7/24, 11:31",,,,,5,5,10
"2022/7/24, 11:14",,,,,40,30,70
"2022/7/24, 07:57",,,,,10,5,15
"2022/7/24, 07:30",,,,,45,40,85
"2022/7/24, 04:24",,,,,,10,10
"2022/7/24, 03:58",,,,,40,30,70
"2022/7/24, 00:54",,,,,2,1,3
"2022/7/24, 00:25",,,,,10,10,20
"2022/7/23, 23:49",,,,,40,40,80
"2022/7/23, 20:45",,,,,,5,5
"2022/7/23, 20:29",,,,,40,35,75
"2022/7/23, 17:42",,,,,10,10,20
"2022/7/23, 17:27",,,,,35,30,65
"2022/7/23, 14:39",,,,,10,5,15
"2022/7/23, 14:16",,,,,40,35,75
"2022/7/23, 11:00",,,,,40,40,80
"2022/7/23, 08:19",,,,,40,40,80
"2022/7/23, 05:04",,,,,35,30,65
"2022/7/23, 02:12",,,,,5,10,15
"2022/7/23, 01:51",,,,,10,,10
"2022/7/23, 01:29",,,,,40,40,80
"2022/7/22, 22:11",,,,,30,30,60
"2022/7/22, 19:50",,,,,2,3,5
"2022/7/22, 19:30",,,,,40,40,80
"2022/7/22, 16:41",,,,,2,3,5
"2022/7/22, 16:25",,,,,25,25,50
"2022/7/22, 13:52",,,,,15,10,25
"2022/7/22, 13:30",,,,,40,40,80
"2022/7/22, 10:01",,,,,35,30,65
"2022/7/22, 07:13",,,,,40,40,80
"2022/7/22, 03:55",,,,,10,5,15
"2022/7/22, 03:39",,,,,30,30,60
"2022/7/22, 01:17",,,,,2,2,4
"2022/7/22, 00:55",,,,,5,5,10
"2022/7/22, 00:32",,,,,35,35,70
"2022/7/21, 21:36",,,,,5,,5
"2022/7/21, 21:13",,,,,20,25,45
"2022/7/21, 18:37",,,,,5,10,15
"2022/7/21, 18:11",,,,,20,30,50
"2022/7/21, 14:33",,,,,40,40,80
"2022/7/21, 11:24",,,,,5,15,20
"2022/7/21, 11:00",,,,,35,25,60
"2022/7/21, 07:54",,,,,5,10,15
"2022/7/21, 07:24",,,,,35,30,65
"2022/7/21, 05:13",,,,,10,5,15
"2022/7/21, 04:56",,,,,25,30,55
"2022/7/21, 02:30",,,,,10,5,15
"2022/7/21, 01:49",,,,,10,15,25
"2022/7/21, 01:18",,,,,35,40,75
"2022/7/20, 21:54",,,,,2,2,5
"2022/7/20, 21:33",,,,,40,35,75
"2022/7/20, 18:41",,,,,10,,10
"2022/7/20, 18:06",,,,,30,25,55
"2022/7/20, 14:54",,,,,,5,5
"2022/7/20, 14:20",,,,,30,30,60
"2022/7/20, 11:13",,,,,5,5,10
"2022/7/20, 10:48",,,,,35,35,70
"2022/7/20, 08:10",,,,,5,5,10
"2022/7/20, 07:46",,,,,30,25,55
"2022/7/20, 05:24",,,,,10,15,25
"2022/7/20, 04:58",,,,,25,25,50
"2022/7/20, 02:32",,,,,10,5,15
"2022/7/20, 02:04",,,,,5,5,10
"2022/7/20, 01:34",,,,,45,40,85
"2022/7/19, 21:26",,,,,5,5,10
"2022/7/19, 20:54",,,,,30,30,60
"2022/7/19, 18:35",,,,,10,20,30
"2022/7/19, 17:10",,,,,40,35,75
"2022/7/19, 13:20",,,,,2,5,7
"2022/7/19, 12:59",,,,,40,35,75
"2022/7/19, 10:15",,,,,10,10,20
"2022/7/19, 09:40",,,,,25,20,45
"2022/7/19, 07:08",,,,,20,20,40
"2022/7/19, 06:40",,,,,30,30,60
"2022/7/19, 03:54",,,,,5,5,10
"2022/7/19, 03:28",,,,,10,10,20
"2022/7/19, 02:55",,,,,25,20,45
"2022/7/19, 00:08",,,,,30,30,60
"2022/7/18, 22:08",,,,,15,20,35
"2022/7/18, 19:45",,,,,10,10,20
"2022/7/18, 19:17",,,,,25,10,35
"2022/7/18, 16:15",,,,,30,30,60
"2022/7/18, 14:02",,,,,20,15,35
"2022/7/18, 11:44",,,,,30,25,55
"2022/7/18, 09:28",,,,,20,20,40
"2022/7/18, 07:24",,,,,30,25,55
"2022/7/18, 04:29",,,,,20,20,40
"2022/7/18, 01:23",,,,,4,7,11
"2022/7/18, 00:56",,,,,1,3,4
"2022/7/18, 00:24",,,,,20,30,50
"2022/7/17, 22:14",,,,,40,30,70
"2022/7/17, 19:57",,,,,25,30,55
"2022/7/17, 17:43",,,,,25,25,50
"2022/7/17, 15:07",,,,,35,25,60
"2022/7/17, 10:54",,,,,30,30,60
"2022/7/17, 07:46",,,,,10,10,20
"2022/7/17, 05:25",,,,,5,10,15
"2022/7/17, 05:06",,,,,35,30,65
"2022/7/17, 02:09",,,,,10,5,15
"2022/7/17, 01:39",,,,,5,5,10
"2022/7/17, 01:09",,,,,30,30,60
"2022/7/16, 21:30",,,,,20,20,40
"2022/7/16, 19:33",,,,,20,25,45
"2022/7/16, 17:00",,,,,10,10,20
"2022/7/16, 15:02",,,,,30,25,55
"2022/7/16, 12:12",,,,,20,20,40
"2022/7/16, 09:14",,,,,20,20,40
"2022/7/16, 07:52",,,,,30,30,60
"2022/7/16, 05:39",,,,,20,20,40
"2022/7/16, 03:48",,,,,20,20,40
"2022/7/16, 01:45",,,,,40,40,80
"2022/7/15, 22:44",,,,,25,25,50
"2022/7/15, 20:02",,,,,20,20,40
"2022/7/15, 16:51",,,,,20,10,30
"2022/7/15, 15:07",,,,,25,30,55
"2022/7/15, 12:43",,,,,20,20,40
"2022/7/15, 09:33",,,,,35,30,65
"2022/7/15, 06:50",,,,,35,35,70
"2022/7/15, 03:34",,,,,30,20,50
"2022/7/15, 01:07",,,,,15,10,25
"2022/7/14, 23:13",,,,,35,30,65
"2022/7/14, 20:51",,,,,20,15,35
"2022/7/14, 18:08",,,,,15,10,25
"2022/7/14, 16:45",,,,,20,15,35
"2022/7/14, 14:35",,,,,20,20,40
"2022/7/14, 12:30",,,,,15,15,30
"2022/7/14, 12:24",,,,,15,10,25
"2022/7/14, 10:46",,,,,20,15,35
"2022/7/14, 08:23",,,,,25,25,50
"2022/7/14, 05:51",,,,,15,15,30
"2022/7/14, 04:26",,,,,30,20,50
"2022/7/14, 01:55",,,,,40,40,80
"2022/7/13, 22:24",,,,,20,15,35
"2022/7/13, 20:35",,,,,10,10,20
"2022/7/13, 18:03",,,,,10,5,15
"2022/7/13, 14:31",,,,,15,10,25
"2022/7/13, 11:47",,,,,20,20,40
"2022/7/13, 05:07",,,,,10,10,20
"2022/7/13, 00:30",,,,,10,10,20
"2022/7/12, 20:54",,,,,10,10,20
"2022/7/12, 17:38",,,,,10,15,25
"2022/7/12, 14:15",,,,,15,15,30
"2022/7/12, 12:10",,,,,25,25,50
"2022/7/12, 04:41",,,,,5,25,30
"2022/7/12, 01:35",,,,,5,5,10
"2022/7/12, 00:34",,,,,15,10,25
"2022/7/11, 21:06",,,,,20,20,40
"2022/7/11, 13:45",,,,,20,20,40
"2022/7/11, 07:41",,,,,15,10,25
"2022/7/11, 00:50",,,,,15,10,25
"2022/7/10, 20:06",,,,,10,10,20
"2022/7/10, 17:08",,,,,25,20,45
"2022/7/10, 11:03",,,,,10,15,25
"2022/7/10, 04:44",,,,,10,5,15
"2022/7/10, 00:15",,,,,5,10,15
"2022/7/9, 20:00",,,,,20,20,40
"2022/7/9, 13:42",,,,,10,15,25
"2022/7/9, 01:52",,,,,10,5,15
"2022/7/8, 20:23",,,,,10,,10
"2022/7/8, 15:13",,,,,10,10,20
"2022/7/8, 11:10",,,,,15,10,25
"2022/7/8, 00:59",,,,,10,5,15
"2022/7/7, 19:23",,,,,5,5,10
"2022/7/7, 11:37",,,,,18,18,36
"2022/7/7, 08:02",,,,,10,15,25
"2022/7/7, 00:07",,,,,10,,10
"2022/7/6, 21:08",,,,,10,10,20
"2022/7/6, 16:21",,,,,18,18,36
"2022/7/6, 04:39",,,,,20,10,30
"2022/7/5, 20:14",,,,,35,35,70
"2022/7/4, 16:40",,,,,5,5,10
"2022/7/4, 11:23",,,,,10,15,25
"2022/7/4, 04:51",,,,,10,15,25
"2022/7/3, 19:30",,,,,10,15,25
"2022/7/3, 13:43",,,,,15,10,25
"2022/7/3, 00:26",,,,,10,5,15
"2022/7/2, 19:06",,,,,25,20,45
"2022/7/2, 11:48",,,,,25,30,55
"2022/6/1, 01:20",,,15,15,,,10
"2022/5/31, 10:30",,15,15,30,,,20
"2022/5/28, 21:45",,15,15,30,18,7,25
"2022/5/28, 12:12",,15,15,30,,,32
"2022/5/28, 06:05",,,16,16,,17,17
"2022/5/27, 21:03",,15,15,30,2,8,10
"2022/5/27, 11:38",,15,15,30,,,20
"2022/5/26, 17:45",,17,,17,3,,3
"2022/5/26, 15:04",,5,24,29,,,17
